Linux 2.6.32-042stab084.26 (lisandrovps) 	08/06/14

00:00:02          CPU     %user     %nice   %system   %iowait    %steal     %idle
00:10:01          all      0,00      0,01      0,00      0,01      0,00     99,98
00:20:01          all      0,00      0,00      0,00      0,00      0,00    100,00
00:30:01          all      0,00      0,00      0,00      0,00      0,00    100,00
00:40:01          all      0,00      0,05      0,02      0,40      0,01     99,52
00:50:01          all      0,00      0,01      0,00      0,01      0,00     99,98
01:00:02          all      0,13      0,00      0,02      0,29      0,00     99,56
01:10:01          all      0,00      0,00      0,00      0,01      0,00     99,99
01:20:01          all      0,00      0,00      0,00      0,00      0,00    100,00
01:30:01          all      0,00      0,00      0,00      0,01      0,00     99,99
01:40:01          all      0,00      0,00      0,00      0,00      0,00    100,00
01:50:01          all      0,00      0,00      0,00      0,00      0,00    100,00
02:00:01          all      0,00      0,00      0,00      0,00      0,00    100,00
02:10:01          all      4,95      0,00      1,89      6,28      0,07     86,81
02:20:01          all      0,77      0,00      0,31      0,98      0,01     97,94
02:30:01          all      0,00      0,00      0,00      0,00      0,00    100,00
02:40:01          all      0,00      0,00      0,00      0,00      0,00    100,00
02:50:01          all      0,00      0,00      0,00      0,00      0,00    100,00
03:00:01          all      0,00      0,00      0,00      0,00      0,00    100,00
03:10:01          all      0,00      0,00      0,00      0,00      0,00    100,00
03:20:01          all      0,00      0,00      0,00      0,00      0,00    100,00
03:30:01          all      0,00      0,00      0,00      0,00      0,00    100,00
03:40:01          all      0,00      0,00      0,00      0,00      0,00    100,00
03:50:01          all      0,02      0,00      0,02      0,43      0,00     99,53
04:00:01          all      0,05      0,00      0,01      0,02      0,00     99,91
04:10:01          all      0,02      0,00      0,01      0,00      0,00     99,96
04:20:01          all      0,04      0,00      0,01      0,01      0,00     99,94
04:30:02          all      0,07      0,00      0,01      0,06      0,00     99,86
04:40:01          all      0,02      0,00      0,01      0,03      0,01     99,93
04:50:01          all      0,02      0,00      0,01      0,00      0,00     99,96
Media:            all      0,21      0,00      0,08      0,29      0,00     99,41
